Date/Time (EST),1m Daily Precipitation (in)
09/07/2011,0.01
09/08/2011,0
09/09/2011,0
09/10/2011,0
09/11/2011,0
09/12/2011,0
09/13/2011,0
09/14/2011,0
09/15/2011,0.01
09/16/2011,0.16
09/17/2011,0.06
09/18/2011,0
09/19/2011,0
09/20/2011,0
09/21/2011,0.39
09/22/2011,0
09/23/2011,0.76
09/24/2011,0.03
09/25/2011,0.07
09/26/2011,0.01
09/27/2011,0.4
09/28/2011,0.28
09/29/2011,0
09/30/2011,0.03
10/01/2011,0
10/02/2011,0
10/03/2011,0
10/04/2011,0
10/05/2011,0
10/06/2011,0
10/07/2011,0
10/08/2011,0
10/09/2011,0
10/10/2011,0
10/11/2011,0.18
10/12/2011,0.03
10/13/2011,0.01
10/14/2011,0
10/15/2011,0
10/16/2011,0
10/17/2011,0
10/18/2011,0.5
10/19/2011,0.31
10/20/2011,0
10/21/2011,0
10/22/2011,0
10/23/2011,0
10/24/2011,0
10/25/2011,0
10/26/2011,0
10/27/2011,0
10/28/2011,0.03
10/29/2011,0.61
10/30/2011,0
10/31/2011,0.32
11/01/2011,0
11/02/2011,0.01
11/03/2011,0.03
11/04/2011,1.21
11/05/2011,0
11/06/2011,0
11/07/2011,0
11/08/2011,0
11/09/2011,0
11/10/2011,0
11/11/2011,0
11/12/2011,0
11/13/2011,0
11/14/2011,0
11/15/2011,0
11/16/2011,0
11/17/2011,0.22
11/18/2011,0
11/19/2011,0
11/20/2011,0
11/21/2011,0
11/22/2011,0
11/23/2011,0.62
11/24/2011,0
11/25/2011,0
11/26/2011,0
11/27/2011,0
11/28/2011,0.02
11/29/2011,1.03
11/30/2011,0
12/01/2011,0
12/02/2011,0
12/03/2011,0
12/04/2011,0
12/05/2011,0
12/06/2011,0.03
12/07/2011,0.3
12/08/2011,0
12/09/2011,0
12/10/2011,0
12/11/2011,0
12/12/2011,0
12/13/2011,0
12/14/2011,0
12/15/2011,0
12/16/2011,0.24
12/17/2011,0.06
12/18/2011,0.01
12/19/2011,0
12/20/2011,0
12/21/2011,0.03
12/22/2011,0
12/23/2011,0
12/24/2011,0
12/25/2011,0
12/26/2011,0
12/27/2011,0.73
12/28/2011,0
12/29/2011,0
12/30/2011,0
12/31/2011,0

