Date/Time (EST),1m Daily Precipitation (in)
05/02/2009,0
05/03/2009,0
05/04/2009,0.24
05/05/2009,0.49
05/06/2009,0.04
05/07/2009,0.39
05/08/2009,0.02
05/09/2009,0.04
05/10/2009,0
05/11/2009,0.13
05/12/2009,0
05/13/2009,0
05/14/2009,0
05/15/2009,0
05/16/2009,0.06
05/17/2009,1.64
05/18/2009,0.08
05/19/2009,0
05/20/2009,0
05/21/2009,0
05/22/2009,0
05/23/2009,0
05/24/2009,0
05/25/2009,0.12
05/26/2009,0.05
05/27/2009,0
05/28/2009,0.46
05/29/2009,0.01
05/30/2009,0
05/31/2009,0
06/01/2009,0
06/02/2009,0
06/03/2009,0
06/04/2009,0.96
06/05/2009,0.35
06/06/2009,0
06/07/2009,0
06/08/2009,0
06/09/2009,0.5
06/10/2009,0.04
06/11/2009,0.01
06/12/2009,0
06/13/2009,0
06/14/2009,0
06/15/2009,0
06/16/2009,4.8
06/17/2009,0.03
06/18/2009,0.09
06/19/2009,0
06/20/2009,0
06/21/2009,0
06/22/2009,0
06/23/2009,0
06/24/2009,0
06/25/2009,0
06/26/2009,0
06/27/2009,0
06/28/2009,0
06/29/2009,0
06/30/2009,0
07/01/2009,0
07/02/2009,0
07/03/2009,0
07/04/2009,0
07/05/2009,0.01
07/06/2009,0
07/07/2009,0
07/08/2009,0
07/09/2009,0.12
07/10/2009,0
07/11/2009,0.04
07/12/2009,0
07/13/2009,0.42
07/14/2009,0
07/15/2009,0
07/16/2009,0.01
07/17/2009,0.46
07/18/2009,0.12
07/19/2009,0
07/20/2009,0
07/21/2009,0
07/22/2009,0.01
07/23/2009,0.03
07/24/2009,0.68
07/25/2009,0.07
07/26/2009,0.01
07/27/2009,0.45
07/28/2009,0
07/29/2009,0
07/30/2009,0.02
07/31/2009,0.84
08/01/2009,0
08/02/2009,0.16
08/03/2009,0
08/04/2009,0
08/05/2009,0.02
08/06/2009,0.2
08/07/2009,0
08/08/2009,0
08/09/2009,0
08/10/2009,0
08/11/2009,0
08/12/2009,0.18
08/13/2009,0.03
08/14/2009,0.02
08/15/2009,0
08/16/2009,0
08/17/2009,0
08/18/2009,0
08/19/2009,0
08/20/2009,0.42
08/21/2009,0.05
08/22/2009,0.26
08/23/2009,0.01
08/24/2009,0
08/25/2009,0
08/26/2009,0
08/27/2009,0
08/28/2009,0.28
08/29/2009,0.02
08/30/2009,0.01
08/31/2009,0.49
09/01/2009,0
09/02/2009,0
09/03/2009,0
09/04/2009,0
09/05/2009,0
09/06/2009,0
09/07/2009,1.62
09/08/2009,0.04
09/09/2009,0
09/10/2009,0
09/11/2009,0
09/12/2009,0
09/13/2009,0
09/14/2009,0
09/15/2009,0
09/16/2009,0
09/17/2009,0.15
09/18/2009,0
09/19/2009,0
09/20/2009,0
09/21/2009,0
09/22/2009,1.17
09/23/2009,0.03
09/24/2009,0
09/25/2009,0
09/26/2009,0.16
09/27/2009,0.04
09/28/2009,0.04
09/29/2009,0
09/30/2009,0
10/01/2009,0
10/02/2009,0
10/03/2009,0
10/04/2009,0
10/05/2009,0.2
10/06/2009,0.06
10/07/2009,0
10/08/2009,0
10/09/2009,0
10/10/2009,0.01
10/11/2009,0.15
10/12/2009,0.15
10/13/2009,0
10/14/2009,0.18
10/15/2009,0.03
10/16/2009,0
10/17/2009,0
10/18/2009,0
10/19/2009,0
10/20/2009,0
10/21/2009,0
10/22/2009,0
10/23/2009,0
10/24/2009,0.09
10/25/2009,0
10/26/2009,0.09
10/27/2009,0.11
10/28/2009,0.08
10/29/2009,0
10/30/2009,0
10/31/2009,0.05
11/01/2009,0.48
11/02/2009,0
11/03/2009,0
11/04/2009,0
11/05/2009,0
11/06/2009,0
11/07/2009,0
11/08/2009,0
11/09/2009,0
11/10/2009,1.08
11/11/2009,1.64
11/12/2009,0
11/13/2009,0.05
11/14/2009,0.01
11/15/2009,0
11/16/2009,0
11/17/2009,0
11/18/2009,0.32
11/19/2009,0.03
11/20/2009,0
11/21/2009,0
11/22/2009,0.14
11/23/2009,0.32
11/24/2009,0
11/25/2009,0.01
11/26/2009,0.01
11/27/2009,0.01
11/28/2009,0
11/29/2009,0
11/30/2009,0.13
12/01/2009,0
12/02/2009,1.93
12/03/2009,0
12/04/2009,0.01
12/05/2009,0.34
12/06/2009,0
12/07/2009,0
12/08/2009,0.49
12/09/2009,0.88
12/10/2009,0
12/11/2009,0
12/12/2009,0
12/13/2009,0.27
12/14/2009,0
12/15/2009,0.01
12/16/2009,0
12/17/2009,0
12/18/2009,0.34
12/19/2009,0.34
12/20/2009,0
12/21/2009,0
12/22/2009,0
12/23/2009,0
12/24/2009,0
12/25/2009,0.63
12/26/2009,0
12/27/2009,0
12/28/2009,0
12/29/2009,0
12/30/2009,0.07
12/31/2009,0.39

