Date/Time (EST),1m Daily Precipitation (in)
07/31/2006,0
08/01/2006,0
08/02/2006,0
08/03/2006,0
08/04/2006,0
08/05/2006,0
08/06/2006,0
08/07/2006,0.09
08/08/2006,0
08/09/2006,0
08/10/2006,0
08/11/2006,0.17
08/12/2006,0
08/13/2006,0
08/14/2006,0
08/15/2006,0
08/16/2006,0
08/17/2006,0
08/18/2006,0
08/19/2006,0
08/20/2006,0
08/21/2006,0
08/22/2006,0
08/23/2006,0.17
08/24/2006,0
08/25/2006,0
08/26/2006,0
08/27/2006,0
08/28/2006,0
08/29/2006,0
08/30/2006,1.25
08/31/2006,0.45
09/01/2006,0.77
09/02/2006,0
09/03/2006,0
09/04/2006,0.07
09/05/2006,0.29
09/06/2006,0.04
09/07/2006,0
09/08/2006,0
09/09/2006,0
09/10/2006,0
09/11/2006,0
09/12/2006,0
09/13/2006,0.53
09/14/2006,0.21
09/15/2006,0
09/16/2006,0
09/17/2006,0
09/18/2006,0
09/19/2006,0.05
09/20/2006,0
09/21/2006,0
09/22/2006,0
09/23/2006,0
09/24/2006,0.2
09/25/2006,0.08
09/26/2006,0
09/27/2006,0
09/28/2006,0.51
09/29/2006,0
09/30/2006,0
10/01/2006,0
10/02/2006,0
10/03/2006,0
10/04/2006,0
10/05/2006,0
10/06/2006,0.46
10/07/2006,0.6
10/08/2006,0.11
10/09/2006,0.06
10/10/2006,0
10/11/2006,0
10/12/2006,0.31
10/13/2006,0
10/14/2006,0
10/15/2006,0
10/16/2006,0
10/17/2006,0.79
10/18/2006,0.05
10/19/2006,0
10/20/2006,0.15
10/21/2006,0
10/22/2006,0.09
10/23/2006,0
10/24/2006,0
10/25/2006,0
10/26/2006,0
10/27/2006,0.74
10/28/2006,0.06
10/29/2006,0
10/30/2006,0
10/31/2006,0
11/01/2006,0
11/02/2006,0
11/03/2006,0
11/04/2006,0
11/05/2006,0
11/06/2006,0
11/07/2006,2.27
11/08/2006,0.08
11/09/2006
11/10/2006
11/11/2006
11/12/2006
11/13/2006,0
11/14/2006,0
11/15/2006,0
11/16/2006,1.2
11/17/2006,0
11/18/2006,0
11/19/2006,0
11/20/2006,0
11/21/2006,1.16
11/22/2006,1.45
11/23/2006,0
11/24/2006,0
11/25/2006,0
11/26/2006,0
11/27/2006,0
11/28/2006,0
11/29/2006,0
11/30/2006,0.09
12/01/2006,0.56
12/02/2006,0
12/03/2006,0.21
12/04/2006,0.01
12/05/2006,0
12/06/2006,0
12/07/2006,0
12/08/2006,0
12/09/2006,0
12/10/2006,0
12/11/2006,0
12/12/2006,0
12/13/2006,0
12/14/2006,0
12/15/2006,0
12/16/2006,0
12/17/2006,0
12/18/2006,0
12/19/2006,0
12/20/2006,0
12/21/2006,0
12/22/2006,1.05
12/23/2006,0.01
12/24/2006,0
12/25/2006,1.54
12/26/2006,0.01
12/27/2006,0
12/28/2006,0
12/29/2006,0
12/30/2006,0
12/31/2006,0.02

